Coil Currents:
===================
CS1UI     : -1329412.855
CS1UO     : -2063001.122
CS1LI     : -1329361.571
CS1LO     : -2062867.392
CS2U      : 8577180.268
CS2L      : 8574427.548
CS3U      : 4085268.413
CS3L      : 4083553.595
PF1U      : 9240766.918
PF1L      : 9239482.057
PF2U      : 7207203.733
PF2L      : 7211433.023
PF3U      : -3507390.135
PF3L      : -3501744.197
PF4U      : -4259211.943
PF4L      : -4253243.779
DV1U      : -470337.846
DV1L      : -476018.52
DV2U      : 481021.781
DV2L      : 482226.188
VS        : 557.286
